rank,entropy_bits,sequence
1,9.982281,toles sarin
2,9.982281,sarin toles
3,9.970169,sanit lores
4,9.970169,lores sanit
5,9.968167,toras laine
6,9.968167,laine toras
7,9.962903,tarie solen
8,9.962903,solen tarie
9,9.943202,tains sorel
10,9.943202,sorel tains
11,9.941672,tores laine
12,9.941672,laine tores
13,9.940406,saint lores
14,9.940406,lores saint
15,9.938461,taros linea
16,9.938461,linea taros
17,9.936760,tires salon
18,9.936760,tiles saron
19,9.936760,taros silen
20,9.936760,silen taros
21,9.936760,saron tiles
22,9.936760,salon tires
23,9.934190,sanit roles
24,9.934190,roles sanit
25,9.926696,toras silen
26,9.926696,tolas siren
27,9.926696,siren tolas
28,9.926696,silen toras
29,9.922711,teian lores
30,9.922711,lores teian
31,9.919441,satin lores
32,9.919441,lores satin
33,9.915927,tenia lores
34,9.915927,lores tenia
35,9.910523,toras linea
36,9.910523,linea toras
37,9.909057,saint roles
38,9.909057,roles saint
39,9.908684,tores sinal
40,9.908684,tines soral
41,9.908684,soral tines
42,9.908684,sinal tores
43,9.908126,toras alien
44,9.908126,alien toras
45,9.903926,tains soler
46,9.903926,soler tains
47,9.902969,solen airts
48,9.902969,airts solen
49,9.899309,toras liane
50,9.899309,liane toras
51,9.895010,tenia sorel
52,9.895010,sorel tenia
53,9.890180,telos sarin
54,9.890180,talis seron
55,9.890180,seron talis
56,9.890180,sarin telos
57,9.886925,tores liane
58,9.886925,liane tores
59,9.885697,tails seron
60,9.885697,seron tails
61,9.883513,tinea soral
62,9.883513,soral tinea
63,9.883174,satin roles
64,9.883174,roles satin
65,9.880824,teian sorel
66,9.880824,sorel teian
67,9.880706,tiles aeron
68,9.880706,aeron tiles
69,9.879202,tries salon
70,9.879202,salon tries
71,9.878817,rotas laine
72,9.878817,laine rotas
73,9.876916,telia saron
74,9.876916,saron telia
75,9.876850,tolas serin
76,9.876850,serin tolas
77,9.872990,teian roles
78,9.872990,roles teian
79,9.870581,taros liane
80,9.870581,liane taros
81,9.870055,saron lites
82,9.870055,lites saron
83,9.867705,taros alien
84,9.867705,alien taros
85,9.866257,trias solen
86,9.866257,solen trias
87,9.864417,tenia roles
88,9.864417,roles tenia
89,9.860524,talis senor
90,9.860524,senor talis
91,9.860061,siren lotas
92,9.860061,lotas siren
93,9.859565,sanit orles
94,9.859565,orles sanit
95,9.858985,tines solar
96,9.858985,tiles sonar
97,9.858985,sonar tiles
98,9.858985,solar tines
99,9.858628,senit carle
100,9.858628,carle senit
101,9.854731,terai solen
102,9.854731,solen terai
103,9.853069,tolas marie
104,9.853069,marie tolas
105,9.852896,talis aeron
106,9.852896,aeron talis
107,9.850827,tails senor
108,9.850827,senor tails
109,9.850213,rotes laine
110,9.850213,laine rotes
111,9.850156,tails aeron
112,9.850156,aeron tails
113,9.849123,sanit cores
114,9.849123,cores sanit
115,9.848331,lenis caret
116,9.848331,caret lenis
117,9.848304,tenia soler
118,9.848304,soler tenia
119,9.847297,saron aliet
120,9.847297,aliet saron
121,9.847191,sanit lures
122,9.847191,lures sanit
123,9.844040,talis snore
124,9.844040,snore talis
125,9.840860,toles reina
126,9.840860,reina toles
127,9.837474,teian soler
128,9.837474,soler teian
129,9.836956,tinea larus
130,9.836956,larus tinea
131,9.836082,tines carle
132,9.836082,carle tines
133,9.834951,tenia soral
134,9.834951,soral tenia
135,9.833578,sinal caret
