rank,entropy_bits,sequence
1,10.426720,tarin coles
2,10.426720,coles tarin
3,10.408794,tarin doles
4,10.408794,doles tarin
5,10.401032,toils daren
6,10.401032,daren toils
7,10.393866,toils carne
8,10.393866,toile carns
9,10.393866,carns toile
10,10.393866,carne toils
11,10.380406,tarin moles
12,10.380406,moles tarin
13,10.378765,tairn coles
14,10.378765,coles tairn
15,10.377982,toile darns
16,10.377982,darns toile
17,10.363629,larin cotes
18,10.363629,cotes larin
19,10.362563,tairn doles
20,10.362563,doles tairn
21,10.360595,toils caner
22,10.360595,caner toils
23,10.349719,larin dotes
24,10.349719,dotes larin
25,10.346216,toils paren
26,10.346216,paren toils
27,10.333613,tairn moles
28,10.333613,moles tairn
29,10.328549,toran miles
30,10.328549,miles toran
31,10.321141,toran ceils
32,10.321141,ceils toran
33,10.311969,toran deils
34,10.311969,deils toran
35,10.309551,toran delis
36,10.309551,delis toran
37,10.304522,talus norie
38,10.304522,norie talus
39,10.265703,sault norie
40,10.265703,norie sault
41,10.200295,toile carus
42,10.200295,carus toile
43,9.988213,tarie solan
44,9.988213,solan tarie
45,9.982281,toles sarin
46,9.982281,sarin toles
47,9.976925,tarin solea
48,9.976925,solea tarin
49,9.970169,sanit lores
50,9.970169,lores sanit
51,9.968167,toras laine
52,9.968167,laine toras
53,9.962903,tarie solen
54,9.962903,solen tarie
55,9.943202,tains sorel
56,9.943202,sorel tains
57,9.941672,tores laine
58,9.941672,laine tores
59,9.940406,saint lores
60,9.940406,lores saint
61,9.938874,tarie lenos
62,9.938874,lenos tarie
63,9.938461,taros linea
64,9.938461,linea taros
65,9.937601,tales norie
66,9.937601,norie tales
67,9.936760,tires salon
68,9.936760,tiles saron
69,9.936760,taros silen
70,9.936760,silen taros
71,9.936760,saron tiles
72,9.936760,salon tires
73,9.934190,sanit roles
74,9.934190,roles sanit
75,9.930939,salet norie
76,9.930939,norie salet
77,9.926696,toras silen
78,9.926696,tolas siren
79,9.926696,tires solan
80,9.926696,solan tires
81,9.926696,siren tolas
82,9.926696,silen toras
83,9.923406,tairn solea
