rank,entropy_bits,sequence
1,10.426720,tores calin
2,10.426720,tarin coles
3,10.426720,tares colin
4,10.426720,tales corin
5,10.426720,corin tales
6,10.426720,colin tares
7,10.426720,coles tarin
8,10.426720,calin tores
9,10.408794,toles darin
10,10.408794,tarin doles
11,10.408794,doles tarin
12,10.408794,darin toles
13,10.404614,sarin colet
14,10.404614,salet corin
15,10.404614,corin salet
16,10.404614,colet sarin
17,10.401032,toils daren
18,10.401032,daren toils
19,10.393866,toils carne
20,10.393866,toile carns
21,10.393866,carns toile
22,10.393866,carne toils
23,10.387493,loins caret
24,10.387493,caret loins
25,10.386306,naris colet
26,10.386306,colet naris
27,10.383806,talon cires
28,10.383806,cires talon
29,10.383601,loris dante
30,10.383601,dante loris
31,10.383352,talis morne
32,10.383352,morne talis
33,10.382484,tirls canoe
34,10.382484,canoe tirls
35,10.380406,tarin moles
36,10.380406,tales morin
37,10.380406,morin tales
38,10.380406,moles tarin
39,10.378765,toles cairn
40,10.378765,tairn coles
41,10.378765,coles tairn
42,10.378765,cairn toles
43,10.378161,talis coner
44,10.378161,coner talis
45,10.377982,toile darns
46,10.377982,darns toile
47,10.376991,ranis colet
48,10.376991,colet ranis
49,10.375679,lions caret
50,10.375679,caret lions
51,10.372844,tolan cires
52,10.372844,tires colan
53,10.372844,tiles coran
54,10.372844,coran tiles
55,10.372844,colan tires
56,10.372844,cires tolan
57,10.371709,lores daint
58,10.371709,daint lores
59,10.371232,tarin cloes
60,10.371232,cloes tarin
61,10.371155,manit lores
62,10.371155,manet loris
63,10.371155,loris manet
64,10.371155,lores manit
65,10.369104,tones larid
66,10.369104,larid tones
67,10.368139,silen carot
68,10.368139,carot silen
69,10.367929,noils caret
70,10.367929,caret noils
71,10.367485,norit dales
72,10.367485,dales norit
73,10.366236,sarin molet
74,10.366236,salet morin
75,10.366236,morin salet
76,10.366236,molet sarin
77,10.365996,tiros canel
78,10.365996,tines carol
79,10.365996,taros cinel
80,10.365996,cinel taros
81,10.365996,carol tines
82,10.365996,canel tiros
83,10.363629,latin cores
84,10.363629,larin cotes
85,10.363629,cotes larin
86,10.363629,cores latin
87,10.362568,lirot canes
88,10.362568,linos caret
89,10.362568,lines carot
90,10.362568,carot lines
91,10.362568,caret linos
92,10.362568,canes lirot
93,10.362563,tairn doles
94,10.362563,doles tairn
95,10.362529,tores canli
96,10.362529,tones carli
97,10.362529,tares conli
98,10.362529,conli tares
99,10.362529,carli tones
100,10.362529,canli tores
101,10.361857,loins carte
102,10.361857,carte loins
103,10.360595,toils caner
104,10.360595,tails coner
105,10.360595,coner tails
106,10.360595,caner toils
107,10.358625,colet airns
108,10.358625,airns colet
109,10.357395,toled sarin
110,10.357395,tarin soled
111,10.357395,soled tarin
112,10.357395,sarin toled
113,10.355799,tarin socle
114,10.355799,socle tarin
115,10.355747,rains colet
116,10.355747,colet rains
117,10.355255,siren colat
118,10.355255,colat siren
119,10.354938,sorel daint
120,10.354938,daint sorel
121,10.353734,trois canel
122,10.353734,canel trois
123,10.353580,tarin poles
124,10.353580,poles tarin
125,10.353265,toras cinel
126,10.353265,toral cines
127,10.353265,tonal cires
128,10.353265,tires conal
129,10.353265,tines coral
130,10.353265,coral tines
131,10.353265,conal tires
132,10.353265,cires tonal
133,10.353265,cines toral
134,10.353265,cinel toras
135,10.353223,sorel manit
136,10.353223,sanit morel
137,10.353223,morel sanit
138,10.353223,manit sorel
139,10.352694,taler coins
140,10.352694,coins taler
141,10.352344,lions carte
142,10.352344,carte lions
143,10.351194,sanit lored
144,10.351194,lored sanit
145,10.350794,toner dalis
146,10.350794,taler donis
147,10.350794,donis taler
148,10.350794,dalis toner
