rank,entropy_bits,sequence
1,11.958341,toran sidle cames
2,11.958341,sidle toran cames
3,11.950228,toran sicle dames
4,11.950228,sicle toran dames
5,11.947892,doris catel senam
6,11.947892,catel doris senam
7,11.934813,toran sidle maces
8,11.934813,sidle toran maces
9,11.932580,doris canel septa
10,11.932580,canel doris septa
11,11.929812,manet doris selah
12,11.929812,doris manet selah
13,11.926840,toran sidle capes
14,11.926840,sidle toran capes
15,11.926210,toile carus sedan
16,11.926210,carus toile sedan
17,11.924113,toran deils sauce
18,11.924113,deils toran sauce
19,11.917575,toran delis sauce
20,11.917575,delis toran sauce
21,11.916805,tenla doris sauce
22,11.916805,doris tenla sauce
23,11.913423,toran sidle paces
24,11.913423,sidle toran paces
25,11.909111,doris canel sebat
26,11.909111,canel doris sebat
27,11.904541,toral denis sauce
28,11.904541,denis toral sauce
29,11.902101,manet doris sepal
30,11.902101,doris manet sepal
31,11.898471,toile duras samen
32,11.898471,duras toile samen
33,11.896718,toral suine cades
34,11.896718,suine toral cades
35,11.896468,toile carus senam
36,11.896468,carus toile senam
37,11.894693,toils denar sauce
38,11.894693,denar toils sauce
39,11.890823,toral dines sauce
40,11.890823,dines toral sauce
41,11.889630,toral suine daces
42,11.889630,suine toral daces
43,11.889518,manet doris sicle
44,11.889518,doris manet sicle
45,11.889231,toran melis sauce
46,11.889231,melis toran sauce
47,11.888227,toile carus denar
48,11.888227,carus toile denar
49,11.886714,toral suine cames
50,11.886714,suine toral cames
51,11.885977,toile duras canel
52,11.885977,duras toile canel
53,11.885916,toran miles sauce
54,11.885916,miles toran sauce
55,11.882789,toran deils cause
56,11.882789,deils toran cause
57,11.882510,manet doris scale
58,11.882510,doris manet scale
59,11.880729,toile duras caner
60,11.880729,duras toile caner
61,11.879667,tenla doris cause
62,11.879667,doris tenla cause
63,11.878741,toran delis cause
64,11.878741,delis toran cause
65,11.874559,relit donas sauce
66,11.874559,donas relit sauce
67,11.873063,toral suine dames
68,11.873063,suine toral dames
69,11.868202,toral suine maces
70,11.868202,suine toral maces
71,11.868180,toral denis cause
72,11.868180,denis toral cause
73,11.867451,doris canel spate
74,11.867451,canel doris spate
75,11.866847,toile carus snead
76,11.866847,carus toile snead
77,11.865829,tarin coles suade
78,11.865829,coles tarin suade
79,11.865692,tiler donas sauce
80,11.865692,donas tiler sauce
81,11.864974,toral mines sauce
82,11.864974,mines toral sauce
83,11.863290,toran deils cames
84,11.863290,toran ceils dames
85,11.863290,deils toran cames
86,11.863290,ceils toran dames
87,11.863085,train socle dames
88,11.863085,socle train dames
89,11.861872,loren ditas sauce
90,11.861872,ditas loren sauce
91,11.860589,toile duras manet
92,11.860589,duras toile manet
93,11.859155,toran ceils suade
94,11.859155,ceils toran suade
95,11.858996,tairn socle duras
96,11.858996,socle tairn duras
97,11.858962,toran piles sauce
98,11.858962,piles toran sauce
99,11.858342,toran limes sauce
100,11.858342,limes toran sauce
101,11.857498,manet doris celia
102,11.857498,doris manet celia
103,11.856710,toran sicle hades
104,11.856710,sicle toran hades
105,11.855259,tenla doris cames
106,11.855259,doris tenla cames
107,11.854301,toils denar cause
108,11.854301,denar toils cause
109,11.853033,toran delis cames
110,11.853033,delis toran cames
111,11.852773,toral dines cause
112,11.852773,dines toral cause
113,11.851388,manet doris slape
114,11.851388,doris manet slape
115,11.851270,toral suine capes
