rank,entropy_bits,sequence
1,10.426720,tarin coles
2,10.426720,coles tarin
3,10.408794,tarin doles
4,10.408794,doles tarin
5,10.401032,toils daren
6,10.401032,daren toils
7,10.393866,toils carne
8,10.393866,toile carns
9,10.393866,carns toile
10,10.393866,carne toils
11,10.383601,loris dante
12,10.383601,dante loris
13,10.382484,tirls canoe
14,10.382484,canoe tirls
15,10.380406,tarin moles
16,10.380406,moles tarin
17,10.378765,tairn coles
18,10.378765,coles tairn
19,10.377982,toile darns
20,10.377982,darns toile
21,10.371232,tarin cloes
22,10.371232,cloes tarin
23,10.371155,manet loris
24,10.371155,loris manet
25,10.365996,tiros canel
26,10.365996,canel tiros
27,10.363629,larin cotes
28,10.363629,cotes larin
29,10.362563,tairn doles
30,10.362563,doles tairn
31,10.360595,toils caner
32,10.360595,caner toils
33,10.357395,tarin soled
34,10.357395,soled tarin
35,10.355799,tarin socle
36,10.355799,socle tarin
37,10.353734,trois canel
38,10.353734,canel trois
39,10.353580,tarin poles
40,10.353580,poles tarin
41,10.353265,toral cines
42,10.353265,cines toral
43,10.350794,toner dalis
44,10.350794,dalis toner
45,10.350574,tarin lodes
46,10.350574,lodes tarin
47,10.349719,laten doris
48,10.349719,larin dotes
49,10.349719,dotes larin
50,10.349719,doris laten
51,10.346216,toils paren
52,10.346216,paren toils
53,10.338456,tomes larin
54,10.338456,tamis loren
55,10.338456,loren tamis
56,10.338456,larin tomes
57,10.333613,tairn moles
58,10.333613,moles tairn
59,10.330929,toral dines
60,10.330929,dines toral
61,10.328549,toran miles
62,10.328549,miles toran
63,10.322701,somet larin
64,10.322701,larin somet
65,10.322230,motes larin
66,10.322230,larin motes
67,10.321862,toile narcs
68,10.321862,narcs toile
69,10.321141,toran ceils
70,10.321141,ceils toran
71,10.319931,roils dante
72,10.319931,dante roils
73,10.319176,trios canel
74,10.319176,canel trios
75,10.319029,roils manet
76,10.319029,manet roils
77,10.318078,tairn cloes
78,10.318078,cloes tairn
79,10.316501,toils rance
80,10.316501,rance toils
81,10.313410,tarin holes
82,10.313410,holes tarin
