trial,game_type,strategy,n_entropy_first,game_id,max_guesses,solved,turns_taken,score_sum,targets,targets_solved_turns
1,wordle,random,,wordle_1,6,1,6,6,bukat,6
1,wordle,random,,wordle_2,6,1,3,3,namda,3
1,wordle,random,,wordle_3,6,1,5,5,tewed,5
1,wordle,random,,wordle_4,6,1,3,3,stabs,3
1,wordle,random,,wordle_5,6,0,6,6,sises,
1,wordle,random,,wordle_6,6,1,3,3,audad,3
1,wordle,random,,wordle_7,6,1,4,4,drung,4
1,wordle,random,,wordle_8,6,0,6,6,boong,
