rank,entropy_bits,sequence
1,10.426720,tores calin
2,10.426720,tarin coles
3,10.426720,tares colin
4,10.426720,tales corin
5,10.426720,coles tarin
6,10.426720,calin tores
7,10.408794,toles darin
8,10.408794,tarin doles
9,10.408794,doles tarin
10,10.408794,darin toles
11,10.404614,sarin colet
12,10.404614,salet corin
13,10.404614,colet sarin
14,10.401032,toils daren
15,10.401032,daren toils
16,10.393866,toils carne
17,10.393866,toile carns
18,10.393866,carns toile
19,10.393866,carne toils
20,10.387493,loins caret
21,10.387493,caret loins
22,10.386306,naris colet
23,10.386306,colet naris
24,10.383806,talon cires
25,10.383806,cires talon
26,10.383601,loris dante
27,10.383601,dante loris
28,10.383352,talis morne
29,10.383352,morne talis
30,10.382484,tirls canoe
31,10.382484,canoe tirls
32,10.380406,tarin moles
33,10.380406,tales morin
34,10.380406,moles tarin
35,10.378765,toles cairn
36,10.378765,tairn coles
37,10.378765,coles tairn
38,10.378765,cairn toles
39,10.378161,talis coner
40,10.378161,coner talis
41,10.377982,toile darns
42,10.377982,darns toile
43,10.376991,ranis colet
44,10.376991,colet ranis
45,10.375679,lions caret
46,10.375679,caret lions
47,10.372844,tolan cires
48,10.372844,tires colan
49,10.372844,tiles coran
50,10.372844,coran tiles
51,10.372844,colan tires
52,10.372844,cires tolan
53,10.371709,lores daint
54,10.371709,daint lores
55,10.371232,tarin cloes
56,10.371232,cloes tarin
57,10.371155,manit lores
58,10.371155,manet loris
59,10.371155,loris manet
60,10.371155,lores manit
61,10.369104,tones larid
62,10.369104,larid tones
63,10.368139,silen carot
64,10.368139,carot silen
65,10.367929,noils caret
66,10.367929,caret noils
67,10.367485,norit dales
68,10.367485,dales norit
69,10.366236,sarin molet
70,10.366236,salet morin
71,10.366236,molet sarin
72,10.365996,tiros canel
73,10.365996,tines carol
74,10.365996,taros cinel
75,10.365996,cinel taros
76,10.365996,carol tines
77,10.365996,canel tiros
78,10.363629,latin cores
79,10.363629,larin cotes
80,10.363629,cotes larin
81,10.363629,cores latin
82,10.362568,lirot canes
83,10.362568,linos caret
84,10.362568,lines carot
85,10.362568,carot lines
86,10.362568,caret linos
87,10.362568,canes lirot
88,10.362563,tairn doles
89,10.362563,doles tairn
90,10.362529,tores canli
91,10.362529,tones carli
92,10.362529,tares conli
93,10.362529,carli tones
94,10.362529,canli tores
95,10.361857,loins carte
96,10.361857,carte loins
97,10.360595,toils caner
98,10.360595,tails coner
99,10.360595,coner tails
100,10.360595,caner toils
101,10.358625,colet airns
102,10.358625,airns colet
103,10.357395,toled sarin
104,10.357395,tarin soled
105,10.357395,soled tarin
106,10.357395,sarin toled
107,10.355799,tarin socle
108,10.355799,socle tarin
109,10.355747,rains colet
110,10.355747,colet rains
111,10.355255,siren colat
112,10.355255,colat siren
113,10.354938,sorel daint
114,10.354938,daint sorel
115,10.353734,trois canel
116,10.353734,canel trois
117,10.353580,tarin poles
118,10.353580,poles tarin
119,10.353265,toras cinel
120,10.353265,toral cines
121,10.353265,tonal cires
122,10.353265,tires conal
123,10.353265,tines coral
124,10.353265,coral tines
125,10.353265,cires tonal
126,10.353265,cines toral
127,10.353265,cinel toras
128,10.353223,sorel manit
129,10.353223,sanit morel
130,10.353223,morel sanit
131,10.353223,manit sorel
132,10.352694,taler coins
133,10.352694,coins taler
134,10.352344,lions carte
135,10.352344,carte lions
136,10.351194,sanit lored
137,10.351194,lored sanit
138,10.350794,toner dalis
139,10.350794,taler donis
140,10.350794,donis taler
141,10.350794,dalis toner
142,10.350574,tores ladin
143,10.350574,tarin lodes
144,10.350574,lodes tarin
145,10.350574,ladin tores
146,10.350356,tared loins
147,10.350356,tains lored
