rank,entropy_bits,sequence
1,12.262828,polis caret menad
2,12.262828,paris colet menad
3,12.262828,colet paris menad
4,12.262828,caret polis menad
5,12.262828,cares polit menad
6,12.261932,polis carte menad
7,12.261932,carte polis menad
8,12.261530,toran deils campe
9,12.261530,deils toran campe
10,12.260063,terns dolia campe
11,12.260063,dolia terns campe
12,12.259751,tenla doris campe
13,12.259751,doris tenla campe
14,12.252652,moils caret penda
15,12.252652,caret moils penda
16,12.251523,toran delis campe
17,12.251523,delis toran campe
18,12.250691,maris colet penda
19,12.250691,colet maris penda
20,12.250062,donat cires maple
21,12.250062,cires donat maple
22,12.247840,poret canis demal
23,12.247840,canis poret demal
24,12.247457,marie colts penda
25,12.247457,colts marie penda
26,12.247100,moile darts pecan
27,12.247100,maile dorts pecan
28,12.247100,dorts maile pecan
29,12.247100,darts moile pecan
30,12.246114,terna diols campe
31,12.246114,diols terna campe
32,12.242811,toral denis campe
33,12.242811,denis toral campe
34,12.239750,terna moils caped
35,12.239750,moils terna caped
36,12.239582,moils carte penda
37,12.239582,moile carts penda
38,12.239582,carts moile penda
39,12.239582,carte moils penda
40,12.239142,marie dolts pecan
41,12.239142,malie dorts pecan
42,12.239142,dorts malie pecan
43,12.239142,dolts marie pecan
44,12.239029,loris denat campe
45,12.239029,denat loris campe
46,12.238532,maint cores pedal
47,12.238532,cores maint pedal
48,12.237475,terna moils paced
49,12.237475,moils terna paced
50,12.236813,telia morns caped
51,12.236813,morns telia caped
52,12.235440,poret canis medal
53,12.235440,manit cores pedal
54,12.235440,cores manit pedal
55,12.235440,canis poret medal
56,12.234874,loins derat campe
57,12.234874,derat loins campe
58,12.234518,torcs malie penda
59,12.234518,malie torcs penda
60,12.234385,terna polis maced
61,12.234385,telia porns maced
62,12.234385,telia morns paced
63,12.234385,porns telia maced
64,12.234385,polis terna maced
65,12.234385,morns telia paced
66,12.233325,marie dolts cunea
67,12.233325,malie dorts cunea
68,12.233325,dorts malie cunea
69,12.233325,dolts marie cunea
70,12.232986,daren coils bemat
71,12.232986,coils daren bemat
72,12.232584,donis carle bemat
73,12.232584,carle donis bemat
74,12.232299,donis caret belam
75,12.232299,caret donis belam
76,12.232194,donis carte belam
77,12.232194,carte donis belam
78,12.231689,monie carts pedal
79,12.231689,maris conte pedal
80,12.231689,conte maris pedal
81,12.231689,carts monie pedal
82,12.230967,toils denar campe
83,12.230967,denar toils campe
84,12.230596,monie carts splad
85,12.230596,maris conte splad
86,12.230596,conte maris splad
87,12.230596,carts monie splad
88,12.230102,noils derat campe
89,12.230102,derat noils campe
90,12.229984,toran melis caped
91,12.229984,melis toran caped
92,12.229838,terna solid campe
93,12.229838,solid terna campe
94,12.228168,toral dines campe
95,12.228168,tires donal campe
96,12.228168,dines toral campe
97,12.227272,tules darin comae
98,12.227272,darin tules comae
99,12.227018,manit cores splad
100,12.227018,cores manit splad
101,12.226558,merat loins caped
102,12.226558,loins merat caped
103,12.226503,terna dilos campe
104,12.226503,dilos terna campe
105,12.226237,moile darts cunea
106,12.226237,maile dorts cunea
107,12.226237,dorts maile cunea
108,12.226237,darts moile cunea
109,12.226211,doits carle beman
110,12.226211,carle doits beman
111,12.225290,daint cores belam
112,12.225290,cores daint belam
113,12.225254,telar donis campe
114,12.225254,donis telar campe
115,12.224687,toran melis paced
116,12.224687,toles marid pecan
117,12.224687,toled maris pecan
118,12.224687,tolan peris maced
119,12.224687,peris tolan maced
120,12.224687,melis toran paced
121,12.224687,maris toled pecan
122,12.224687,marid toles pecan
123,12.224665,liras donet campe
124,12.224665,donet liras campe
125,12.224199,tamil cores penda
126,12.224199,cores tamil penda
127,12.224141,maris colet denay
128,12.224141,manit cores delay
129,12.224141,cores manit delay
130,12.224141,colet maris denay
131,12.223485,mairs colet penda
132,12.223485,colet mairs penda
133,12.223426,morat lenis caped
134,12.223426,menat loris caped
135,12.223426,loris menat caped
136,12.223426,lenis morat caped
137,12.223128,lions derat campe
138,12.223128,derat lions campe
139,12.222884,moils caret denay
140,12.222884,caret moils denay
141,12.222045,noils merat caped
142,12.222045,merat noils caped
143,12.221338,maint cores delay
144,12.221338,cores maint delay
145,12.220687,diols caret beman
146,12.220687,caret diols beman
147,12.220258,toral peins maced
148,12.220258,peins toral maced
149,12.219954,moils caret sudan
150,12.219954,caret moils sudan
151,12.219892,merat loins paced
152,12.219892,loins merat paced
153,12.219780,toils cared beman
154,12.219780,tared coils beman
155,12.219780,tails cored beman
156,12.219780,cored tails beman
157,12.219780,coils tared beman
158,12.219780,cared toils beman
159,12.219168,doits carne belam
160,12.219168,carne doits belam
161,12.219062,donis caret melba
162,12.219062,caret donis melba
163,12.218830,merat lions caped
164,12.218830,lions merat caped
165,12.218818,tolan sired campe
166,12.218818,tired solan campe
167,12.218818,solan tired campe
168,12.218818,sired tolan campe
169,12.218388,monie carts delay
170,12.218388,maris conte delay
171,12.218388,marie colts denay
172,12.218388,conte maris delay
173,12.218388,colts marie denay
174,12.218388,carts monie delay
175,12.218159,sarin colet dumas
176,12.218159,salet corin dumas
177,12.218159,colet sarin dumas
178,12.218152,tores canid belam
179,12.218152,tored canis belam
180,12.218152,tones carid belam
181,12.218152,carid tones belam
182,12.218152,canis tored belam
183,12.217591,donis carte melba
184,12.217591,carte donis melba
185,12.217190,milos caret penda
186,12.217190,miles carot penda
187,12.217190,carot miles penda
188,12.217190,caret milos penda
189,12.216285,teian lords campe
190,12.216285,lords teian campe
191,12.216119,morat lenis paced
192,12.216119,menat loris paced
193,12.216119,loris menat paced
194,12.216119,lenis morat paced
195,12.216118,diols carte beman
196,12.216118,carte diols beman
197,12.215861,noils merat paced
198,12.215861,merat noils paced
199,12.215792,darin coles bemat
200,12.215792,dares colin bemat
201,12.215792,dales corin bemat
202,12.215792,coles darin bemat
203,12.215692,nerts dolia campe
204,12.215692,dolia nerts campe
205,12.215473,toral penis maced
206,12.215473,tonal peris maced
207,12.215473,peris tonal maced
208,12.215473,penis toral maced
209,12.215391,tolus carne media
210,12.215391,carne tolus media
211,12.214777,siren dault comas
212,12.214455,tarie conus demal
213,12.214387,toras lined campe
214,12.214387,toned liras campe
215,12.214387,liras toned campe
216,12.214387,lined toras campe
217,12.214379,maint cores splad
218,12.214379,cores maint splad
219,12.214246,roils denat campe
220,12.214246,denat roils campe
221,12.214237,solan merit caped
222,12.214237,merit solan caped
223,12.213797,sonar delit campe
224,12.213797,delit sonar campe
225,12.213778,daint cores melba
226,12.213778,cores daint melba
227,12.213590,terna milos caped
228,12.213590,milos terna caped
229,12.213487,maris colet benda
230,12.213487,colet maris benda
231,12.213445,moils caret benda
232,12.213445,caret moils benda
233,12.213341,tonus carle media
234,12.213341,carle tonus media
235,12.213282,tored cains belam
236,12.213282,tared coins belam
237,12.213282,tains cored belam
238,12.213282,cored tains belam
239,12.213282,coins tared belam
240,12.213282,cains tored belam
241,12.212609,mires colat bande
242,12.212609,colat mires bande
243,12.212498,marie colts benda
244,12.212498,colts marie benda
245,12.212040,toran sidle camus
246,12.212040,sidle toran camus
247,12.211934,moils caret henad
248,12.211934,caret moils henad
249,12.211686,dione carts belam
250,12.211686,carts dione belam
251,12.211028,donis carte belap
252,12.211028,carte donis belap
253,12.211008,toile cards beman
254,12.211008,tarde coils beman
255,12.211008,coils tarde beman
256,12.211008,cards toile beman
257,12.210898,polis caret dimna
258,12.210898,paris colet dimna
259,12.210898,colet paris dimna
260,12.210898,caret polis dimna
261,12.210898,cares polit dimna
262,12.210804,tarin comes pedal
263,12.210804,tames corin pedal
264,12.210804,comes tarin pedal
265,12.210804,cares tomin pedal
266,12.210783,donis caret belap
267,12.210783,caret donis belap
268,12.210583,nails duret comae
269,12.210583,duret nails comae
270,12.210516,sarin mulet codas
271,12.210516,maris colet sudan
272,12.210516,colet maris sudan
273,12.210499,mares cloit penda
274,12.210424,lures daint comae
275,12.210424,daint lures comae
276,12.210335,marie colts sudan
277,12.210335,colts marie sudan
278,12.210264,daren coils bepat
279,12.210264,coils daren bepat
280,12.210142,torcs malie denay
281,12.210142,malie torcs denay
282,12.210137,polis carte dimna
283,12.210137,carte polis dimna
284,12.210123,relit donas campe
285,12.210123,donas relit campe
286,12.210071,norit melas caped
287,12.210071,melas norit caped
288,12.210035,loran diets campe
289,12.210035,diets loran campe
290,12.210007,donis carle bepat
291,12.210007,carle donis bepat
292,12.209654,tenia lords campe
293,12.209654,lords tenia campe
294,12.209596,torma lenis caped
295,12.209596,lenis torma caped
296,12.209586,tarin comes delay
297,12.209586,tames corin delay
298,12.209586,comes tarin delay
299,12.209586,cares tomin delay
300,12.209319,menta loris caped
301,12.209319,loris menta caped
302,12.208859,tolan sired camus
303,12.208859,tired solan camus
304,12.208859,solan tired camus
305,12.208859,sired tolan camus
306,12.208825,linea dorts campe
307,12.208825,dorts linea campe
308,12.208821,poret canis delay
309,12.208821,polis caret denay
310,12.208821,paris colet denay
311,12.208821,colet paris denay
312,12.208821,caret polis denay
313,12.208821,cares polit denay
314,12.208821,canis poret delay
315,12.208433,roils menat caped
316,12.208433,menat roils caped
317,12.208247,torma silen cadus
318,12.208247,tirma solen cadus
319,12.208247,solen tirma cadus
320,12.208247,silen torma cadus
321,12.208143,solid carte punas
322,12.208143,carte solid punas
323,12.207954,merat lions paced
324,12.207954,lions merat paced
325,12.207751,morae lints caped
326,12.207751,monte liras caped
327,12.207751,liras monte caped
328,12.207751,lints morae caped
329,12.207681,doris canel bemat
330,12.207681,canel doris bemat
331,12.207618,solan perit maced
332,12.207618,solan merit paced
333,12.207618,perit solan maced
334,12.207618,merit solan paced
335,12.207349,silen morat cadus
336,12.207349,morat silen cadus
337,12.207212,maris colet henad
338,12.207212,colet maris henad
339,12.206963,monie carts plead
340,12.206963,maris conte plead
341,12.206963,conte maris plead
342,12.206963,carts monie plead
343,12.206946,doits carle peban
344,12.206946,carle doits peban
345,12.206898,diols caret heman
346,12.206898,caret diols heman
347,12.206490,tores canid melba
348,12.206490,tored canis melba
349,12.206490,tones carid melba
350,12.206490,carid tones melba
351,12.206490,canis tored melba
352,12.206353,tared cions belam
353,12.206353,cions tared belam
354,12.206160,moils carte sudan
355,12.206160,moile carts sudan
356,12.206160,carts moile sudan
357,12.206160,carte moils sudan
358,12.205992,tolan dries campe
359,12.205992,dries tolan campe
360,12.205889,moils carte denay
361,12.205889,moile carts denay
362,12.205889,carts moile denay
363,12.205889,carte moils denay
364,12.205868,diols caret peban
365,12.205868,caret diols peban
366,12.205858,doits carne melba
367,12.205858,carne doits melba
368,12.205436,doits carle sumen
369,12.205436,carle doits sumen
370,12.205414,terna milos paced
371,12.205414,milos terna paced
372,12.204940,tored cains melba
373,12.204940,tared coins melba
374,12.204940,tains cored melba
375,12.204940,cored tains melba
376,12.204940,coins tared melba
377,12.204940,cains tored melba
378,12.204252,siren dault comae
379,12.204207,moils carte benda
380,12.204207,moile carts benda
381,12.204207,carts moile benda
382,12.204207,carte moils benda
383,12.204205,menta loris paced
384,12.204205,loris menta paced
385,12.204059,teind soral campe
386,12.204059,soral teind campe
387,12.203842,tains lured comae
388,12.203731,tides loran campe
389,12.203731,loran tides campe
390,12.203716,senit moral caped
391,12.203716,moral senit caped
392,12.203640,torma lenis paced
393,12.203640,lenis torma paced
394,12.203439,norit melas paced
395,12.203439,melas norit paced
396,12.203123,doits carle heman
397,12.203123,carle doits heman
398,12.203091,linos derat campe
399,12.203091,derat linos campe
400,12.203034,serin dault comae
401,12.202907,neral doits campe
402,12.202907,doits neral campe
403,12.202859,donet carls priam
404,12.202859,carls donet priam
405,12.202832,solid caret punas
406,12.202832,sanit cored pulas
407,12.202832,cored sanit pulas
408,12.202832,caret solid punas
409,12.202556,marie colts henad
410,12.202556,colts marie henad
411,12.202536,torcs malie sudan
412,12.202536,malie torcs sudan
413,12.202438,darns colet simba
414,12.202438,colet darns simba
415,12.202356,tunes larid comae
416,12.202356,larid tunes comae
417,12.202302,tarin comes splad
418,12.202302,tames corin splad
419,12.202302,comes tarin splad
420,12.202302,cares tomin splad
421,12.202015,toils cared peban
422,12.202015,tared coils peban
423,12.202015,tails cored peban
424,12.202015,cored tails peban
425,12.202015,coils tared peban
426,12.202015,cared toils peban
427,12.201827,manit cores plead
428,12.201827,cores manit plead
429,12.201485,tarie colds beman
430,12.201199,donet carls simba
431,12.201199,carls donet simba
432,12.201188,daint cores belap
433,12.201188,cores daint belap
434,12.200990,teals morin caped
435,12.200920,roils menat paced
436,12.200920,menat roils paced
437,12.200809,polis carte denay
438,12.200809,carte polis denay
439,12.200450,tores calid beman
440,12.200450,toles carid beman
441,12.200450,talis cored beman
442,12.200450,cored talis beman
443,12.200450,carid toles beman
444,12.200361,tarin socle dumas
445,12.200361,socle tarin dumas
446,12.200125,talis morne decay
447,12.200125,morne talis decay
448,12.199912,tores canid belap
449,12.199912,tored canis belap
450,12.199912,tones carid belap
451,12.199912,carid tones belap
452,12.199912,canis tored belap
453,12.199869,torma silen dacus
454,12.199869,tirma solen dacus
455,12.199869,solen tirma dacus
456,12.199869,silen torma dacus
457,12.199737,solid carte menus
458,12.199737,carte solid menus
459,12.199735,tarie conus splad
460,12.199661,tared sunil comas
461,12.199661,sunil tared comas
462,12.199607,donis caret leuma
463,12.199607,caret donis leuma
464,12.199369,polis caret benda
465,12.199369,paris colet benda
466,12.199369,colet paris benda
467,12.199369,caret polis benda
468,12.199369,cares polit benda
469,12.199297,toils cared heman
470,12.199297,tared coils heman
471,12.199297,tails cored heman
472,12.199297,cored tails heman
473,12.199297,coils tared heman
474,12.199297,cared toils heman
475,12.199264,torcs malie benda
476,12.199264,malie torcs benda
477,12.199178,dairt cones belam
478,12.199178,cones dairt belam
479,12.199122,loren ditas campe
480,12.199122,loran dites campe
481,12.199122,dites loran campe
482,12.199122,ditas loren campe
483,12.199119,tored sinal campe
484,12.199119,tonal sired campe
485,12.199119,tined soral campe
486,12.199119,soral tined campe
487,12.199119,sired tonal campe
488,12.199119,sinal tored campe
489,12.198967,moils carte henad
490,12.198967,moile carts henad
491,12.198967,carts moile henad
492,12.198967,carte moils henad
493,12.198803,suint carle domes
494,12.198803,carle suint domes
495,12.198524,rents dolia campe
496,12.198524,dolia rents campe
497,12.198508,diols carte peban
498,12.198508,carte diols peban
499,12.198444,relit monas caped
500,12.198444,monas relit caped
501,12.198408,tarie conus medal
502,12.198300,tared cions melba
503,12.198300,cions tared melba
504,12.198200,dinos caret belam
505,12.198200,dines carot belam
506,12.198200,carot dines belam
507,12.198200,caret dinos belam
508,12.198186,silen morat dacus
509,12.198186,morat silen dacus
510,12.198159,sanit cored belam
511,12.198159,cored sanit belam
512,12.197948,teman loris caped
513,12.197948,loris teman caped
514,12.197883,dione carts melba
515,12.197883,carts dione melba
516,12.197792,torcs malie henad
517,12.197792,malie torcs henad
518,12.197708,donet carls prima
519,12.197708,carls donet prima
520,12.197638,morae lints paced
521,12.197638,monte liras paced
522,12.197638,liras monte paced
523,12.197638,lints morae paced
524,12.197620,toles dinar campe
525,12.197620,tolas diner campe
526,12.197620,tiles donar campe
527,12.197620,tiler donas campe
528,12.197620,donas tiler campe
529,12.197620,donar tiles campe
530,12.197620,diner tolas campe
531,12.197620,dinar toles campe
532,12.197459,mairs colet denay
533,12.197459,colet mairs denay
534,12.197436,senit moral paced
535,12.197436,moral senit paced
536,12.197431,tarin codes belam
537,12.197431,codes tarin belam
538,12.197095,polis carte benda
539,12.197095,carte polis benda
540,12.196976,diols carte sumen
541,12.196976,carte diols sumen
542,12.196973,tolas birne maced
543,12.196973,birne tolas maced
544,12.196926,milts carne podia
545,12.196926,carne milts podia
546,12.196880,donis carte leuma
547,12.196880,carte donis leuma
548,12.196701,riles donat campe
549,12.196701,donat riles campe
550,12.196565,tarde sunil comas
551,12.196565,sunil tarde comas
552,12.196223,donet carls semih
553,12.196223,carls donet semih
554,12.195867,toils dearn campe
555,12.195867,dearn toils campe
556,12.195822,diols carte heman
557,12.195822,carte diols heman
558,12.195818,teals morin paced
559,12.195738,dairt coles beman
560,12.195738,coles dairt beman
561,12.195625,dairt coles muran
562,12.195625,coles dairt muran
563,12.195561,mires colat penda
564,12.195561,colat mires penda
565,12.195485,serut calin domes
566,12.195485,calin serut domes
567,12.195359,daint cores leuma
568,12.195359,cores daint leuma
569,12.195340,doits carne belap
570,12.195340,carne doits belap
571,12.195139,tamil cores denay
572,12.195139,cores tamil denay
573,12.194882,silen carot dumas
574,12.194882,carot silen dumas
575,12.194717,darns colet semih
576,12.194717,colet darns semih
577,12.194522,tunis daler comae
578,12.194522,tuner dalis comae
579,12.194522,dalis tuner comae
580,12.194522,daler tunis comae
581,12.194159,toils daren sumac
